trainer_id,trainer_name_zh,trainer_type,trainer_tier,species_id,species,count,source_names
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,mewtwo,Mewtwo,2,rainbow-rocket-curated
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,nidoking,Nidoking,2,rainbow-rocket-curated
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,nidoqueen,Nidoqueen,1,rainbow-rocket-curated
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,rhyperior,Rhyperior,2,rainbow-rocket-curated
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,persian,Persian,1,rainbow-rocket-curated
villain:彩虹火箭队:坂木:1,坂木,villain,rainbow_rocket,dugtrio,Dugtrio,1,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,groudon,Groudon,2,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,camerupt,Camerupt,2,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,crobat,Crobat,1,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,mightyena,Mightyena,1,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,weezing,Weezing,1,rainbow-rocket-curated
villain:彩虹火箭队:赤焰松:2,赤焰松,villain,rainbow_rocket,houndoom,Houndoom,1,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,kyogre,Kyogre,2,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,sharpedo,Sharpedo,2,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,crobat,Crobat,1,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,mightyena,Mightyena,1,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,muk,Muk,1,rainbow-rocket-curated
villain:彩虹火箭队:水梧桐:3,水梧桐,villain,rainbow_rocket,walrein,Walrein,1,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,dialga,Dialga,1,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,palkia,Palkia,1,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,giratina,Giratina,1,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,honchkrow,Honchkrow,2,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,weavile,Weavile,2,rainbow-rocket-curated
villain:彩虹火箭队:赤日:4,赤日,villain,rainbow_rocket,crobat,Crobat,1,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,kyurem,Kyurem,2,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,hydreigon,Hydreigon,2,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,cofagrigus,Cofagrigus,1,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,seismitoad,Seismitoad,1,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,eelektross,Eelektross,1,rainbow-rocket-curated
villain:彩虹火箭队:魁奇思:5,魁奇思,villain,rainbow_rocket,bisharp,Bisharp,1,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,xerneas,Xerneas,1,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,yveltal,Yveltal,1,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,gyarados,Gyarados,2,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,pyroar,Pyroar,2,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,mienshao,Mienshao,1,rainbow-rocket-curated
villain:彩虹火箭队:弗拉达利:6,弗拉达利,villain,rainbow_rocket,honchkrow,Honchkrow,1,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,nihilego,Nihilego,2,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,pheromosa,Pheromosa,1,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,clefable,Clefable,1,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,milotic,Milotic,2,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,bewear,Bewear,1,rainbow-rocket-curated
villain:彩虹火箭队:露莎米奈:7,露莎米奈,villain,rainbow_rocket,lilligant,Lilligant,1,rainbow-rocket-curated
